usage_id,customer_id,date,data_usage_mb,call_minutes,sms_count
USG00080,CUST1497,2025-12-06,647,259,31
USG00081,CUST1099,2025-12-06,1280,358,18
USG00082,CUST0596,2026-03-24,1397,174,86
USG00083,CUST1824,2026-04-10,1454,12,30
USG00084,CUST0304,2025-06-01,666,160,29
USG00085,CUST1634,2025-09-21,931,284,49
USG00086,CUST1841,2026-02-02,829,416,64
USG00087,CUST0523,2026-04-16,614,204,3
USG00088,CUST0343,2026-03-14,1108,307,15
USG00089,CUST1185,2025-06-24,1266,410,19
USG00090,CUST1444,2025-12-11,1612,147,41
USG00091,CUST1866,2025-11-01,399,371,65
USG00092,CUST0881,2025-10-15,777,218,65
USG00093,CUST0852,2026-02-05,186,162,93
USG00094,CUST1175,2025-12-30,1851,430,35
USG00095,CUST1665,2025-12-01,1393,93,28
USG00096,CUST0385,2025-09-29,1801,141,46
USG00097,CUST0182,2025-11-16,346,167,42
USG00098,CUST0544,2025-08-26,652,82,32
USG00099,CUST0101,2025-08-15,872,205,68
USG00100,CUST0849,2026-03-05,230,469,82
USG00101,CUST1209,2026-03-22,698,92,64
USG00102,CUST0283,2025-11-08,624,156,52
USG00103,CUST0676,2026-01-09,1492,441,22
USG00104,CUST1278,2025-06-28,138,409,89
USG00105,CUST1347,2025-12-20,1592,480,3
USG00106,CUST1940,2026-03-12,750,63,9
USG00107,CUST1149,2026-01-12,1232,482,75
USG00108,CUST1817,2025-11-03,1555,124,91
USG00109,CUST1998,2025-08-31,731,280,65
USG00110,CUST0768,2025-07-05,834,439,33
USG00111,CUST1729,2025-08-17,852,12,14
USG00112,CUST1941,2025-11-17,801,79,94
USG00113,CUST0912,2025-12-14,579,169,6
USG00114,CUST0588,2026-03-31,1257,273,23
USG00115,CUST1770,2025-10-29,1220,325,50
USG00116,CUST1352,2025-09-10,1797,409,36
USG00117,CUST0218,2025-09-30,1407,194,29
USG00118,CUST1375,2025-12-26,599,328,51
USG00119,CUST0478,2025-05-09,511,414,87
USG00120,CUST0898,2025-09-15,376,319,37
USG00121,CUST0828,2026-01-27,1607,201,41
USG00122,CUST1176,2026-02-05,1619,472,4
USG00123,CUST1884,2025-12-17,588,72,76
USG00124,CUST0637,2026-03-02,588,104,58
USG00125,CUST0617,2026-03-30,1548,431,64
USG00126,CUST0703,2026-03-27,365,482,89
USG00127,CUST0519,2026-03-10,1459,469,81
USG00128,CUST0341,2025-06-14,855,277,71
USG00129,CUST1693,2025-09-25,1014,39,69
USG00130,CUST1997,2025-08-03,1724,161,83
USG00131,CUST0913,2025-07-08,981,403,2
USG00132,CUST0514,2025-07-22,1995,64,17
USG00133,CUST0868,2026-02-27,977,470,4
USG00134,CUST1082,2026-04-09,690,437,6
USG00135,CUST1677,2025-04-23,1636,480,37
USG00136,CUST1623,2025-11-25,1821,51,95
USG00137,CUST1210,2026-03-10,1153,375,54
USG00138,CUST0260,2025-05-22,287,414,92
USG00139,CUST0496,2026-03-27,806,287,55
USG00140,CUST0687,2025-12-05,607,80,83
USG00141,CUST1406,2025-05-30,1954,182,89
USG00142,CUST1394,2025-05-16,1021,178,79
USG00143,CUST0752,2025-08-09,271,99,64
USG00144,CUST0895,2025-12-26,1311,101,30
USG00145,CUST1745,2026-02-09,1020,160,5
USG00146,CUST0238,2025-12-05,1426,317,82
USG00147,CUST1467,2026-03-18,1981,451,22
USG00148,CUST1755,2025-07-14,1360,365,16
USG00149,CUST1761,2025-11-23,571,472,6
USG00150,CUST0100,2025-07-13,779,145,81
USG00151,CUST0965,2025-11-25,1913,270,84
USG00152,CUST0148,2026-03-01,723,472,98
USG00153,CUST1151,2025-08-16,1023,217,86
USG00154,CUST1873,2025-05-08,527,268,37
USG00155,CUST0669,2025-10-16,301,45,98
USG00156,CUST1408,2025-11-13,1078,116,92
USG00157,CUST0788,2026-04-12,122,38,34
USG00158,CUST1311,2025-08-06,1709,43,10
USG00159,CUST1539,2026-01-03,546,464,69
USG00160,CUST0900,2025-09-11,1591,217,78
USG00161,CUST1217,2026-02-26,1295,409,88
USG00162,CUST0473,2025-11-11,1939,46,23
USG00163,CUST1570,2025-10-31,444,38,58
USG00164,CUST1460,2026-01-10,1858,301,80
USG00165,CUST0658,2025-07-19,1230,15,26
USG00166,CUST1982,2026-04-01,1298,483,64
USG00167,CUST1175,2025-11-21,1930,229,85
USG00168,CUST0544,2026-04-15,1742,271,59
USG00169,CUST1237,2026-01-22,1285,194,6
USG00170,CUST1618,2025-07-08,103,494,100
USG00171,CUST1542,2025-09-24,1961,360,42
USG00172,CUST1898,2025-08-29,430,240,37
USG00173,CUST1870,2025-10-15,1800,226,81
USG00174,CUST1704,2025-07-30,1090,214,66
USG00175,CUST0130,2026-03-17,629,256,99
USG00176,CUST0894,2025-04-24,1310,193,79
USG00177,CUST0298,2025-06-24,692,169,62
USG00178,CUST0045,2026-01-24,465,194,27
USG00179,CUST0805,2026-04-17,1097,353,62
USG00180,CUST1082,2025-10-07,1996,241,80
USG00181,CUST1268,2025-06-18,264,153,96
USG00182,CUST1817,2025-08-20,740,317,78
USG00183,CUST1356,2026-02-25,1080,44,84
USG00184,CUST1252,2025-11-01,1876,137,61
USG00185,CUST0836,2025-08-23,903,435,39
USG00186,CUST1346,2025-07-14,1977,211,93
USG00187,CUST1151,2025-05-27,1812,378,63
USG00188,CUST1811,2025-05-31,1443,427,22
USG00189,CUST1208,2026-02-06,293,313,30
USG00190,CUST1963,2026-01-12,1411,336,64
USG00191,CUST1346,2025-11-26,383,64,11
USG00192,CUST0456,2026-04-20,1335,323,74
USG00193,CUST1512,2025-08-16,1389,467,25
USG00194,CUST1750,2026-03-08,346,159,41
USG00195,CUST0437,2025-12-18,700,476,54
USG00196,CUST0406,2026-04-18,758,52,74
USG00197,CUST0760,2026-01-19,717,113,69
USG00198,CUST0983,2026-01-15,1012,24,71
USG00199,CUST0104,2025-11-30,589,354,99
USG00200,CUST1319,2025-09-28,166,42,22
USG00201,CUST1668,2025-08-27,1999,356,38
USG00202,CUST0541,2025-06-07,1739,246,81
USG00203,CUST1291,2026-01-07,1018,481,46
USG00204,CUST0727,2026-02-17,1336,151,100
USG00205,CUST0557,2026-02-01,814,437,88
USG00206,CUST1341,2025-06-18,1177,112,63
USG00207,CUST1685,2025-08-01,272,261,96
USG00208,CUST1998,2025-09-09,1367,121,49
USG00209,CUST0490,2026-01-19,425,107,13
USG00210,CUST1555,2025-05-20,508,289,43
USG00211,CUST0358,2025-06-26,1428,401,37
USG00212,CUST1651,2025-12-04,157,452,41
USG00213,CUST0968,2025-09-16,468,251,54
USG00214,CUST1606,2025-04-28,733,95,46
USG00215,CUST1391,2025-12-24,969,466,64
USG00216,CUST0736,2025-07-04,1880,391,22
USG00217,CUST1783,2025-11-22,1802,494,5
USG00218,CUST0861,2025-08-04,1567,159,76
USG00219,CUST1413,2026-04-09,1551,360,86
USG00220,CUST0427,2025-05-10,539,210,94
USG00221,CUST0501,2025-10-06,256,433,74
USG00222,CUST2000,2026-01-03,1671,270,56
USG00223,CUST0174,2025-06-19,415,140,46
USG00224,CUST0943,2026-01-16,577,319,6
USG00225,CUST0099,2025-07-27,282,227,61
USG00226,CUST0263,2025-07-22,950,328,19
USG00227,CUST1125,2026-01-21,1280,320,12
USG00228,CUST1927,2025-12-13,1691,419,85
USG00229,CUST1634,2025-10-06,1416,89,13
USG00230,CUST0565,2026-02-16,1564,30,18
USG00231,CUST1728,2025-08-07,440,56,68
USG00232,CUST1899,2025-10-21,233,346,1
USG00233,CUST0169,2026-01-25,1591,277,30
USG00234,CUST1348,2026-04-07,896,279,80
USG00235,CUST0712,2026-01-29,556,23,82
USG00236,CUST0264,2025-10-29,242,97,18
USG00237,CUST1293,2025-11-18,1223,406,74
USG00238,CUST0392,2026-02-17,1847,292,30
USG00239,CUST0578,2025-05-14,1977,231,9
USG00240,CUST1867,2025-09-03,1746,189,24
USG00241,CUST0696,2025-11-19,1171,211,95
USG00242,CUST0637,2025-07-15,353,450,40
USG00243,CUST0300,2026-02-01,870,426,14
USG00244,CUST0321,2026-01-02,1634,286,7
USG00245,CUST1464,2025-10-15,1460,47,87
USG00246,CUST1905,2025-10-09,1943,23,37
USG00247,CUST1757,2025-11-28,1512,361,37
USG00248,CUST1461,2025-10-28,886,317,79
USG00249,CUST0013,2026-01-23,1043,134,32
USG00250,CUST0835,2025-09-18,1990,426,100
USG00251,CUST0416,2025-11-01,848,406,15
USG00252,CUST1664,2025-07-29,336,399,75
USG00253,CUST1868,2025-08-15,1687,226,80
USG00254,CUST1338,2025-09-23,1325,228,0
USG00255,CUST1588,2025-08-17,1371,138,99
USG00256,CUST0416,2025-05-09,1858,323,64
USG00257,CUST0387,2026-03-30,1367,52,13
USG00258,CUST0378,2026-02-14,408,332,92
USG00259,CUST1107,2026-01-24,108,55,60
USG00260,CUST0206,2025-11-16,1828,451,55
USG00261,CUST1013,2026-02-25,361,302,58
USG00262,CUST1218,2025-05-14,249,332,82
USG00263,CUST0276,2025-05-05,754,95,47
USG00264,CUST0427,2025-06-13,169,486,57
USG00265,CUST0781,2025-11-09,1710,147,7
USG00266,CUST0507,2025-09-08,432,401,98
USG00267,CUST0653,2025-11-13,594,404,78
USG00268,CUST1480,2025-12-17,657,419,33
USG00269,CUST1894,2025-06-27,1738,390,24
USG00270,CUST1889,2025-09-15,952,42,96
USG00271,CUST1273,2025-10-22,451,470,42
USG00272,CUST0502,2025-08-18,992,382,8
USG00273,CUST0237,2025-04-26,842,230,86
USG00274,CUST1310,2025-07-29,1563,459,49
USG00275,CUST0251,2026-02-12,1631,373,32
USG00276,CUST0507,2025-11-08,647,439,17
USG00277,CUST1671,2026-03-18,329,24,25
USG00278,CUST0963,2025-07-25,1551,485,40
USG00279,CUST0386,2025-08-06,1540,260,91
USG00280,CUST1793,2025-05-31,920,414,29
USG00281,CUST1732,2026-02-11,1018,157,21
USG00282,CUST1520,2025-06-15,224,399,31
USG00283,CUST0718,2025-10-04,1003,270,84
USG00284,CUST1365,2025-07-05,105,449,21
USG00285,CUST1723,2026-02-02,274,393,51
USG00286,CUST1678,2025-06-12,182,325,98
USG00287,CUST1601,2025-10-13,641,322,75
USG00288,CUST0789,2025-05-02,111,294,82
USG00289,CUST0796,2025-07-13,634,283,62
USG00290,CUST1811,2026-03-29,1707,439,5
USG00291,CUST0083,2025-06-08,1957,132,95
USG00292,CUST0200,2025-05-01,307,204,73
USG00293,CUST0227,2025-10-12,1050,29,46
USG00294,CUST0325,2025-07-22,1382,181,54
USG00295,CUST1880,2025-10-27,476,483,23
USG00296,CUST1207,2025-08-19,410,39,46
USG00297,CUST0364,2025-08-20,1330,486,42
USG00298,CUST1510,2026-03-08,780,456,75
USG00299,CUST0762,2026-01-02,1176,135,99
USG00300,CUST0199,2025-10-16,427,409,7
USG00301,CUST0269,2026-04-04,611,14,73
USG00302,CUST1654,2026-01-12,1940,18,67
USG00303,CUST1294,2025-07-04,1171,342,83
USG00304,CUST0017,2025-11-10,581,215,16
USG00305,CUST1799,2026-03-12,354,31,44
USG00306,CUST0551,2025-08-21,1162,137,33
USG00307,CUST0979,2025-08-26,630,419,44
USG00308,CUST0256,2025-11-27,482,171,5
USG00309,CUST0974,2025-05-05,414,13,96
USG00310,CUST1552,2025-08-26,1206,279,45
USG00311,CUST0261,2025-08-20,542,105,49
USG00312,CUST0607,2025-10-03,1892,51,4
USG00313,CUST1219,2025-05-04,204,398,5
USG00314,CUST0814,2025-09-15,1435,166,45
USG00315,CUST1805,2026-02-14,1893,489,63
USG00316,CUST0319,2025-07-29,1193,190,47
USG00317,CUST1112,2026-02-12,215,58,57
USG00318,CUST1632,2025-06-05,348,224,4
USG00319,CUST1988,2025-08-20,597,137,13
USG00320,CUST1426,2025-07-13,1982,141,47
USG00321,CUST1917,2026-04-16,1585,82,32
USG00322,CUST1506,2025-06-17,137,500,51
USG00323,CUST1083,2025-11-05,1128,170,93
USG00324,CUST0995,2025-12-17,1771,244,44
USG00325,CUST0206,2025-10-04,1763,353,98
USG00326,CUST1889,2025-11-16,120,48,41
USG00327,CUST1737,2025-05-23,590,449,72
USG00328,CUST0024,2026-02-27,145,467,77
USG00329,CUST1204,2026-01-14,1877,124,98
USG00330,CUST0345,2025-12-08,1689,124,24
USG00331,CUST1817,2026-02-11,1892,270,62
USG00332,CUST1904,2025-11-09,1074,418,96
USG00333,CUST1635,2025-07-01,662,208,52
USG00334,CUST0066,2025-12-22,1008,226,27
USG00335,CUST1642,2026-01-19,1503,142,79
USG00336,CUST0177,2025-10-18,1807,102,56
USG00337,CUST1063,2025-09-07,794,486,92
USG00338,CUST0007,2025-11-05,1072,322,98
USG00339,CUST0425,2026-04-19,1030,284,80
USG00340,CUST1773,2025-12-08,889,159,89
USG00341,CUST0285,2025-05-17,1628,405,61
USG00342,CUST1242,2025-06-24,1511,185,12
USG00343,CUST0077,2025-07-15,1682,281,17
USG00344,CUST1815,2025-04-24,1339,118,16
USG00345,CUST0982,2026-01-24,896,446,28
USG00346,CUST0813,2025-04-24,1735,231,91
USG00347,CUST1670,2026-03-20,916,262,58
USG00348,CUST1850,2026-02-10,397,112,48
USG00349,CUST1776,2025-06-06,1921,88,87
USG00350,CUST1975,2025-12-18,1791,236,10
USG00351,CUST1774,2025-09-15,641,124,49
USG00352,CUST1333,2025-12-24,162,25,66
USG00353,CUST0151,2026-01-29,305,43,79
USG00354,CUST0501,2025-08-29,716,318,64
USG00355,CUST0895,2026-01-26,952,342,46
USG00356,CUST1990,2025-09-27,1634,250,21
USG00357,CUST1199,2025-05-20,1060,152,52
USG00358,CUST0334,2026-02-04,588,126,97
USG00359,CUST0413,2026-02-16,1868,200,74
USG00360,CUST1647,2025-08-19,1576,69,2
USG00361,CUST1198,2025-05-21,1450,473,30
USG00362,CUST1112,2025-12-06,1846,323,47
USG00363,CUST0454,2025-10-14,1982,230,14
USG00364,CUST1647,2025-10-23,1097,500,89
USG00365,CUST0134,2026-04-20,1522,198,58
USG00366,CUST1051,2026-04-04,594,290,92
USG00367,CUST1207,2025-12-16,964,73,10
USG00368,CUST1626,2025-10-28,1259,415,86
USG00369,CUST1653,2025-09-17,1437,320,38
USG00370,CUST0030,2026-02-05,1508,281,24
USG00371,CUST1063,2025-08-30,926,195,96
USG00372,CUST1887,2025-06-14,1884,380,68
USG00373,CUST0069,2025-06-05,1715,155,61
USG00374,CUST1115,2025-08-04,1828,485,65
USG00375,CUST1348,2025-07-24,555,270,21
USG00376,CUST1639,2025-05-25,190,477,56
USG00377,CUST0017,2026-01-25,224,378,80
USG00378,CUST0848,2025-09-07,1431,58,0
USG00379,CUST1927,2025-10-28,1053,470,37
USG00380,CUST1014,2025-10-09,1617,450,85
USG00381,CUST1001,2025-12-22,1551,275,76
USG00382,CUST0089,2026-02-11,1935,339,39
USG00383,CUST0216,2026-04-12,784,131,29
USG00384,CUST1712,2025-07-05,1321,444,89
USG00385,CUST1327,2025-11-21,1441,201,87
USG00386,CUST1695,2025-05-23,1444,465,70
USG00387,CUST0949,2025-08-19,885,429,19
USG00388,CUST1548,2026-01-03,518,302,9
USG00389,CUST0097,2025-07-28,1846,173,33
USG00390,CUST1492,2025-06-21,1887,135,37
USG00391,CUST0729,2025-11-16,767,413,60
USG00392,CUST1748,2026-04-11,787,118,96
USG00393,CUST1981,2026-01-14,375,394,65
USG00394,CUST0726,2026-04-10,953,115,74
USG00395,CUST1432,2025-10-23,310,150,29
USG00396,CUST0256,2025-05-11,735,262,18
USG00397,CUST0412,2025-07-03,483,153,32
USG00398,CUST1834,2026-04-18,1843,260,58
USG00399,CUST1788,2025-05-16,1424,300,77
USG00400,CUST0823,2025-07-05,1008,244,56
USG00401,CUST0803,2026-01-25,1152,305,43
USG00402,CUST1296,2025-08-31,723,105,50
USG00403,CUST1708,2025-10-19,933,325,43
USG00404,CUST1776,2025-08-29,894,429,73
USG00405,CUST1939,2026-02-21,1305,106,77
USG00406,CUST1836,2025-11-02,643,275,91
USG00407,CUST1752,2025-11-15,346,497,61
USG00408,CUST0702,2025-04-25,1548,184,92
USG00409,CUST1068,2026-01-05,1397,413,31
USG00410,CUST0515,2025-06-16,1105,74,5
USG00411,CUST0239,2026-01-09,1168,301,22
USG00412,CUST0702,2025-07-23,795,184,21
USG00413,CUST1069,2025-07-19,298,135,32
USG00414,CUST1267,2025-08-25,447,230,40
USG00415,CUST0265,2026-03-26,1295,223,79
USG00416,CUST1055,2026-01-19,1307,389,49
USG00417,CUST1889,2025-11-24,1120,201,15
USG00418,CUST1535,2026-03-05,204,293,56
USG00419,CUST0461,2025-04-29,1166,76,35
USG00420,CUST0501,2025-11-22,281,87,6
USG00421,CUST1564,2025-10-22,525,29,71
USG00422,CUST1320,2026-01-25,1185,56,29
USG00423,CUST1282,2026-04-13,1647,148,97
USG00424,CUST0917,2025-12-29,551,297,94
USG00425,CUST0713,2025-05-04,946,429,66
USG00426,CUST0027,2025-12-28,913,174,48
USG00427,CUST1304,2026-02-23,1150,428,35
USG00428,CUST0259,2025-08-29,1743,154,89
USG00429,CUST0421,2025-06-11,973,174,92
USG00430,CUST1450,2025-08-13,1819,296,63
USG00431,CUST1251,2025-12-24,914,278,56
USG00432,CUST0361,2025-06-04,1710,241,58
USG00433,CUST1208,2025-11-14,1924,62,60
USG00434,CUST0519,2025-04-22,673,220,88
USG00435,CUST1408,2025-07-29,280,210,60
USG00436,CUST0197,2026-01-23,1284,486,18
USG00437,CUST0738,2025-07-08,987,276,82
USG00438,CUST1136,2025-04-26,477,74,39
USG00439,CUST0985,2025-12-03,1821,84,68
USG00440,CUST1480,2025-08-24,1158,47,17
USG00441,CUST0606,2025-06-07,543,89,98
USG00442,CUST1048,2025-09-10,1263,411,45
USG00443,CUST0338,2025-04-25,1811,443,12
USG00444,CUST0470,2025-05-11,1940,348,15
USG00445,CUST1205,2026-03-31,1589,317,58
USG00446,CUST0574,2025-05-05,704,217,77
USG00447,CUST0480,2025-06-17,1190,123,36
USG00448,CUST1214,2025-10-05,599,282,51
USG00449,CUST1454,2025-07-05,680,454,99
USG00450,CUST0147,2026-01-08,1574,310,0
USG00451,CUST1739,2025-06-15,1450,225,88
USG00452,CUST0049,2025-12-21,957,213,27
USG00453,CUST1922,2025-08-09,255,80,8
USG00454,CUST1436,2025-08-19,1855,27,79
USG00455,CUST1371,2025-05-24,1613,162,68
USG00456,CUST0546,2025-10-01,1022,173,11
USG00457,CUST0875,2025-07-07,494,111,21
USG00458,CUST0356,2026-02-22,1795,370,54
USG00459,CUST1392,2025-11-28,922,109,86
USG00460,CUST1673,2025-05-26,483,214,33
USG00461,CUST0811,2025-07-14,454,220,36
USG00462,CUST0703,2025-11-28,1704,234,79
USG00463,CUST0561,2025-11-06,381,141,53
USG00464,CUST1915,2025-05-26,1067,140,5
USG00465,CUST1543,2025-11-09,1414,103,17
USG00466,CUST1198,2025-09-11,766,211,99
USG00467,CUST1354,2025-11-19,1038,338,100
USG00468,CUST0755,2025-05-01,1513,248,95
USG00469,CUST1383,2025-10-23,1914,180,20
USG00470,CUST1006,2025-12-14,1717,276,52
USG00471,CUST1232,2025-06-30,504,151,37
USG00472,CUST0388,2026-02-14,1180,234,92
USG00473,CUST1072,2025-08-10,1722,437,74
USG00474,CUST1760,2025-10-26,1183,304,50
USG00475,CUST0014,2025-08-28,1112,479,56
USG00476,CUST1074,2025-12-08,908,92,6
USG00477,CUST0882,2026-02-10,1242,31,16
USG00478,CUST0664,2025-06-22,1129,126,63
USG00479,CUST1373,2026-03-16,1586,394,8
USG00480,CUST1866,2025-11-28,1202,354,52
USG00481,CUST0983,2026-01-21,1140,481,39
USG00482,CUST1280,2025-11-01,788,486,16
USG00483,CUST0270,2025-06-07,836,63,30
USG00484,CUST0780,2025-08-02,313,340,13
USG00485,CUST1836,2025-10-07,1988,480,25
USG00486,CUST0743,2025-11-09,355,73,33
USG00487,CUST1460,2025-11-08,454,109,7
USG00488,CUST1606,2025-09-19,1621,413,7
USG00489,CUST0630,2025-08-01,107,191,72
USG00490,CUST0375,2025-06-18,830,330,34
USG00491,CUST1097,2026-03-13,448,479,83
USG00492,CUST0777,2026-01-27,607,498,91
USG00493,CUST1854,2025-11-25,565,64,31
USG00494,CUST0726,2026-02-17,353,246,92
USG00495,CUST0843,2026-03-09,234,310,30
USG00496,CUST0938,2025-12-20,396,22,68
USG00497,CUST0880,2026-02-02,376,235,35
USG00498,CUST0338,2025-11-10,1242,467,74
USG00499,CUST1459,2025-11-14,245,93,88
USG00500,CUST1536,2026-01-28,1349,67,6
USG00501,CUST0357,2026-02-28,1214,469,27
USG00502,CUST0012,2026-01-02,318,473,43
USG00503,CUST0679,2026-01-11,607,119,78
USG00504,CUST1478,2025-06-20,1018,286,78
USG00505,CUST0977,2025-12-10,1194,337,24
USG00506,CUST0382,2025-08-16,1440,369,72
USG00507,CUST0541,2026-01-29,1549,357,39
USG00508,CUST0945,2025-08-03,369,108,25
USG00509,CUST0434,2025-10-24,773,140,92
USG00510,CUST1237,2025-06-23,669,23,93
USG00511,CUST0260,2025-04-24,190,457,45
USG00512,CUST0369,2026-01-28,1775,278,8
USG00513,CUST1362,2026-01-02,925,242,49
USG00514,CUST0205,2026-03-13,1345,110,5
USG00515,CUST1690,2025-04-25,1579,75,83
USG00516,CUST0549,2026-01-05,916,225,20
USG00517,CUST0443,2025-09-23,1051,219,5
USG00518,CUST0091,2026-02-11,1176,176,90
USG00519,CUST0355,2026-01-12,971,253,83
USG00520,CUST0825,2025-12-16,1832,485,83
USG00521,CUST0791,2025-11-09,1856,330,53
USG00522,CUST0962,2025-09-18,1622,490,64
USG00523,CUST1889,2026-02-13,525,154,37
USG00524,CUST0688,2025-08-14,1609,500,18
USG00525,CUST0622,2025-04-30,921,130,57
USG00526,CUST1561,2026-02-25,1336,403,59
USG00527,CUST1899,2025-05-12,1859,248,37
USG00528,CUST1824,2026-03-06,1073,377,55
USG00529,CUST1437,2025-06-08,1925,387,85
USG00530,CUST0526,2025-10-02,1244,474,19
USG00531,CUST0660,2025-11-08,1979,165,81
USG00532,CUST1262,2026-01-31,1715,229,76
USG00533,CUST1981,2026-03-13,1393,234,9
USG00534,CUST1350,2025-05-01,1380,48,11
USG00535,CUST1641,2025-09-17,415,158,32
USG00536,CUST1989,2025-11-05,801,494,96
USG00537,CUST0463,2026-02-26,1907,250,44
USG00538,CUST0964,2025-07-26,861,144,63
USG00539,CUST1036,2026-04-15,538,462,46
USG00540,CUST0426,2025-09-16,933,26,71
USG00541,CUST0110,2025-11-19,539,98,39
USG00542,CUST0103,2025-12-15,1184,322,71
USG00543,CUST0991,2025-09-08,424,454,47
USG00544,CUST1173,2026-02-24,805,380,63
USG00545,CUST0288,2025-06-15,413,422,74
USG00546,CUST1521,2025-05-16,1123,475,51
USG00547,CUST1806,2025-09-28,1034,378,7
USG00548,CUST1080,2025-08-19,1603,296,38
USG00549,CUST1554,2026-04-14,1049,438,53
USG00550,CUST0593,2025-08-28,177,44,34
USG00551,CUST0264,2025-05-06,142,20,98
USG00552,CUST0135,2026-01-20,1695,388,65
USG00553,CUST1824,2025-10-23,1473,341,57
USG00554,CUST1104,2025-04-21,1383,381,56
USG00555,CUST0170,2025-10-17,1337,342,65
USG00556,CUST1894,2025-08-12,264,263,98
USG00557,CUST1177,2026-02-17,1150,15,88
USG00558,CUST0894,2025-04-24,1280,239,47
USG00559,CUST0488,2026-01-14,845,265,66
USG00560,CUST0834,2026-02-28,148,481,81
USG00561,CUST1349,2026-03-27,1267,37,60
USG00562,CUST0969,2025-04-29,1550,351,99
USG00563,CUST0927,2025-07-09,192,152,97
USG00564,CUST0591,2026-01-05,1362,389,97
USG00565,CUST0895,2025-09-23,1692,203,5
USG00566,CUST0575,2025-12-08,1174,113,17
USG00567,CUST1613,2025-05-22,381,289,44
USG00568,CUST0367,2025-07-26,1223,81,93
