complaint_id,customer_id,complaint_type,description,status,created_date,resolved_date
CMP00043,CUST1337,Service,Issue reported,Open,2025-08-30,2025-08-30
CMP00044,CUST0733,Billing,Issue reported,Open,2026-03-09,2026-03-09
CMP00045,CUST0676,Service,Issue reported,Closed,2025-05-21,2025-05-21
CMP00046,CUST1816,Billing,Issue reported,Open,2025-04-29,2025-04-29
CMP00047,CUST1938,Billing,Issue reported,Open,2025-12-14,2025-12-14
CMP00048,CUST0372,Billing,Issue reported,Closed,2026-02-28,2026-02-28
CMP00049,CUST0085,Network,Issue reported,Open,2025-12-09,2025-12-09
CMP00050,CUST0460,Billing,Issue reported,Closed,2025-07-04,2025-07-04
CMP00051,CUST1100,Service,Issue reported,Closed,2026-04-12,2026-04-12
CMP00052,CUST1446,Service,Issue reported,Closed,2025-07-10,2025-07-10
CMP00053,CUST0885,Billing,Issue reported,Closed,2025-05-19,2025-05-19
CMP00054,CUST0292,Billing,Issue reported,Open,2025-12-25,2025-12-25
CMP00055,CUST1488,Service,Issue reported,Open,2025-07-23,2025-07-23
CMP00056,CUST0179,Network,Issue reported,Closed,2025-09-24,2025-09-24
CMP00057,CUST1874,Network,Issue reported,Closed,2025-09-10,2025-09-10
CMP00058,CUST0913,Billing,Issue reported,Open,2025-10-23,2025-10-23
CMP00059,CUST1841,Service,Issue reported,Closed,2025-07-06,2025-07-06
CMP00060,CUST1441,Billing,Issue reported,Closed,2026-02-21,2026-02-21
CMP00061,CUST0842,Service,Issue reported,Closed,2025-10-06,2025-10-06
CMP00062,CUST1502,Network,Issue reported,Open,2025-09-14,2025-09-14
CMP00063,CUST0195,Billing,Issue reported,Open,2025-12-15,2025-12-15
CMP00064,CUST0247,Service,Issue reported,Closed,2025-08-11,2025-08-11
CMP00065,CUST0596,Network,Issue reported,Closed,2026-03-05,2026-03-05
CMP00066,CUST1918,Network,Issue reported,Open,2025-06-02,2025-06-02
CMP00067,CUST1126,Network,Issue reported,Closed,2025-06-09,2025-06-09
CMP00068,CUST1753,Billing,Issue reported,Open,2026-04-01,2026-04-01
CMP00069,CUST0753,Network,Issue reported,Closed,2025-12-19,2025-12-19
CMP00070,CUST0356,Billing,Issue reported,Closed,2025-10-15,2025-10-15
CMP00071,CUST1394,Billing,Issue reported,Closed,2025-09-12,2025-09-12
CMP00072,CUST0040,Network,Issue reported,Closed,2025-10-16,2025-10-16
CMP00073,CUST0571,Service,Issue reported,Closed,2026-03-05,2026-03-05
CMP00074,CUST1035,Service,Issue reported,Open,2026-03-05,2026-03-05
CMP00075,CUST0917,Network,Issue reported,Closed,2026-02-26,2026-02-26
CMP00076,CUST0672,Billing,Issue reported,Closed,2025-11-30,2025-11-30
CMP00077,CUST1532,Network,Issue reported,Closed,2025-09-04,2025-09-04
CMP00078,CUST0007,Billing,Issue reported,Closed,2025-10-06,2025-10-06
CMP00079,CUST0554,Service,Issue reported,Open,2026-01-18,2026-01-18
CMP00080,CUST1347,Network,Issue reported,Closed,2026-04-18,2026-04-18
CMP00081,CUST0820,Network,Issue reported,Closed,2025-10-15,2025-10-15
CMP00082,CUST0682,Network,Issue reported,Closed,2026-04-17,2026-04-17
CMP00083,CUST1103,Service,Issue reported,Open,2025-08-10,2025-08-10
CMP00084,CUST0581,Billing,Issue reported,Closed,2026-01-07,2026-01-07
CMP00085,CUST0344,Billing,Issue reported,Open,2025-12-09,2025-12-09
CMP00086,CUST1367,Billing,Issue reported,Closed,2025-12-21,2025-12-21
CMP00087,CUST1626,Service,Issue reported,Open,2025-07-16,2025-07-16
CMP00088,CUST1375,Network,Issue reported,Closed,2025-11-08,2025-11-08
CMP00089,CUST1760,Network,Issue reported,Open,2025-05-07,2025-05-07
CMP00090,CUST1546,Billing,Issue reported,Closed,2025-05-04,2025-05-04
CMP00091,CUST0035,Network,Issue reported,Open,2025-05-21,2025-05-21
CMP00092,CUST1311,Network,Issue reported,Closed,2025-12-23,2025-12-23
CMP00093,CUST1654,Network,Issue reported,Closed,2026-01-16,2026-01-16
CMP00094,CUST1716,Service,Issue reported,Closed,2025-05-28,2025-05-28
CMP00095,CUST0986,Service,Issue reported,Open,2026-02-18,2026-02-18
CMP00096,CUST1329,Network,Issue reported,Open,2025-08-31,2025-08-31
CMP00097,CUST0094,Billing,Issue reported,Open,2025-10-21,2025-10-21
CMP00098,CUST1866,Service,Issue reported,Open,2025-08-26,2025-08-26
CMP00099,CUST0727,Network,Issue reported,Closed,2026-02-08,2026-02-08
CMP00100,CUST0748,Service,Issue reported,Closed,2025-06-21,2025-06-21
CMP00101,CUST1274,Service,Issue reported,Open,2025-11-20,2025-11-20
CMP00102,CUST0982,Network,Issue reported,Open,2026-02-04,2026-02-04
CMP00103,CUST1992,Network,Issue reported,Open,2025-12-29,2025-12-29
CMP00104,CUST1440,Service,Issue reported,Open,2025-07-31,2025-07-31
CMP00105,CUST0356,Network,Issue reported,Closed,2025-08-31,2025-08-31
CMP00106,CUST0076,Service,Issue reported,Closed,2025-07-14,2025-07-14
CMP00107,CUST0058,Network,Issue reported,Open,2025-11-12,2025-11-12
CMP00108,CUST1616,Service,Issue reported,Open,2026-01-20,2026-01-20
CMP00109,CUST0102,Service,Issue reported,Open,2025-09-21,2025-09-21
CMP00110,CUST1187,Service,Issue reported,Closed,2025-10-19,2025-10-19
CMP00111,CUST1677,Network,Issue reported,Closed,2025-12-19,2025-12-19
CMP00112,CUST0850,Billing,Issue reported,Open,2025-12-26,2025-12-26
CMP00113,CUST1551,Service,Issue reported,Closed,2026-03-14,2026-03-14
CMP00114,CUST0027,Service,Issue reported,Open,2026-02-18,2026-02-18
CMP00115,CUST0902,Network,Issue reported,Open,2025-11-17,2025-11-17
CMP00116,CUST0313,Service,Issue reported,Open,2025-05-30,2025-05-30
CMP00117,CUST1969,Network,Issue reported,Open,2025-04-27,2025-04-27
CMP00118,CUST1133,Service,Issue reported,Closed,2025-10-24,2025-10-24
CMP00119,CUST1701,Billing,Issue reported,Open,2026-04-06,2026-04-06
CMP00120,CUST1186,Service,Issue reported,Closed,2026-02-25,2026-02-25
CMP00121,CUST0045,Service,Issue reported,Open,2025-06-30,2025-06-30
CMP00122,CUST0259,Network,Issue reported,Open,2026-01-10,2026-01-10
CMP00123,CUST0252,Service,Issue reported,Closed,2025-07-10,2025-07-10
CMP00124,CUST0852,Billing,Issue reported,Closed,2025-12-22,2025-12-22
CMP00125,CUST0843,Service,Issue reported,Open,2025-12-14,2025-12-14
CMP00126,CUST1614,Billing,Issue reported,Closed,2025-09-04,2025-09-04
CMP00127,CUST1214,Network,Issue reported,Closed,2025-11-05,2025-11-05
CMP00128,CUST1610,Billing,Issue reported,Closed,2026-01-30,2026-01-30
CMP00129,CUST0486,Network,Issue reported,Open,2025-12-20,2025-12-20
CMP00130,CUST1112,Service,Issue reported,Closed,2026-01-18,2026-01-18
CMP00131,CUST0176,Billing,Issue reported,Open,2026-03-30,2026-03-30
CMP00132,CUST1893,Service,Issue reported,Closed,2025-05-13,2025-05-13
CMP00133,CUST0719,Service,Issue reported,Closed,2026-03-09,2026-03-09
CMP00134,CUST0934,Service,Issue reported,Open,2025-06-20,2025-06-20
CMP00135,CUST0927,Network,Issue reported,Closed,2026-01-12,2026-01-12
CMP00136,CUST1369,Network,Issue reported,Open,2026-02-09,2026-02-09
CMP00137,CUST0195,Network,Issue reported,Open,2026-02-20,2026-02-20
CMP00138,CUST0707,Service,Issue reported,Closed,2025-07-04,2025-07-04
CMP00139,CUST0810,Service,Issue reported,Closed,2025-06-26,2025-06-26
CMP00140,CUST1752,Network,Issue reported,Closed,2025-06-17,2025-06-17
CMP00141,CUST1846,Network,Issue reported,Closed,2026-03-15,2026-03-15
CMP00142,CUST0670,Billing,Issue reported,Closed,2025-08-29,2025-08-29
CMP00143,CUST0533,Network,Issue reported,Closed,2026-02-20,2026-02-20
CMP00144,CUST1375,Service,Issue reported,Closed,2025-05-19,2025-05-19
CMP00145,CUST1352,Network,Issue reported,Closed,2025-12-09,2025-12-09
CMP00146,CUST1269,Network,Issue reported,Open,2025-05-06,2025-05-06
CMP00147,CUST0520,Billing,Issue reported,Closed,2025-10-13,2025-10-13
CMP00148,CUST1491,Billing,Issue reported,Open,2025-09-15,2025-09-15
CMP00149,CUST0696,Network,Issue reported,Open,2025-05-04,2025-05-04
CMP00150,CUST0872,Service,Issue reported,Closed,2026-04-14,2026-04-14
CMP00151,CUST1268,Billing,Issue reported,Open,2026-03-30,2026-03-30
CMP00152,CUST0955,Service,Issue reported,Closed,2025-10-27,2025-10-27
CMP00153,CUST0077,Service,Issue reported,Open,2025-07-16,2025-07-16
CMP00154,CUST1400,Network,Issue reported,Open,2025-11-12,2025-11-12
CMP00155,CUST0425,Network,Issue reported,Open,2026-01-16,2026-01-16
CMP00156,CUST0865,Billing,Issue reported,Closed,2025-09-18,2025-09-18
CMP00157,CUST1047,Billing,Issue reported,Open,2026-03-12,2026-03-12
CMP00158,CUST0584,Billing,Issue reported,Open,2025-10-10,2025-10-10
CMP00159,CUST1418,Service,Issue reported,Open,2025-07-08,2025-07-08
CMP00160,CUST0949,Service,Issue reported,Closed,2025-08-25,2025-08-25
CMP00161,CUST1708,Billing,Issue reported,Closed,2025-06-01,2025-06-01
CMP00162,CUST1360,Network,Issue reported,Open,2026-03-27,2026-03-27
CMP00163,CUST0933,Billing,Issue reported,Open,2026-04-05,2026-04-05
CMP00164,CUST0399,Service,Issue reported,Closed,2025-10-05,2025-10-05
CMP00165,CUST0384,Network,Issue reported,Closed,2025-07-26,2025-07-26
CMP00166,CUST0957,Service,Issue reported,Open,2026-01-27,2026-01-27
CMP00167,CUST0216,Billing,Issue reported,Closed,2026-03-24,2026-03-24
CMP00168,CUST0682,Billing,Issue reported,Open,2025-06-14,2025-06-14
CMP00169,CUST0058,Billing,Issue reported,Closed,2026-03-06,2026-03-06
CMP00170,CUST0502,Network,Issue reported,Open,2025-10-27,2025-10-27
CMP00171,CUST0099,Billing,Issue reported,Closed,2026-04-05,2026-04-05
CMP00172,CUST1699,Service,Issue reported,Open,2026-03-19,2026-03-19
CMP00173,CUST0587,Billing,Issue reported,Closed,2026-01-17,2026-01-17
CMP00174,CUST1012,Network,Issue reported,Open,2025-05-20,2025-05-20
CMP00175,CUST0236,Service,Issue reported,Open,2025-04-28,2025-04-28
CMP00176,CUST0058,Service,Issue reported,Open,2026-02-28,2026-02-28
CMP00177,CUST1674,Network,Issue reported,Closed,2026-02-21,2026-02-21
CMP00178,CUST1982,Billing,Issue reported,Open,2025-08-25,2025-08-25
CMP00179,CUST1084,Network,Issue reported,Open,2026-03-01,2026-03-01
CMP00180,CUST1295,Billing,Issue reported,Closed,2025-06-02,2025-06-02
CMP00181,CUST0340,Network,Issue reported,Closed,2025-05-29,2025-05-29
CMP00182,CUST1539,Service,Issue reported,Closed,2025-10-29,2025-10-29
CMP00183,CUST0337,Service,Issue reported,Open,2026-03-21,2026-03-21
CMP00184,CUST1728,Service,Issue reported,Closed,2025-11-01,2025-11-01
CMP00185,CUST0923,Service,Issue reported,Closed,2025-11-26,2025-11-26
CMP00186,CUST1097,Billing,Issue reported,Open,2025-04-25,2025-04-25
CMP00187,CUST0370,Billing,Issue reported,Open,2026-03-26,2026-03-26
CMP00188,CUST1135,Billing,Issue reported,Open,2026-02-12,2026-02-12
CMP00189,CUST0739,Network,Issue reported,Closed,2025-04-26,2025-04-26
CMP00190,CUST0339,Service,Issue reported,Open,2025-07-23,2025-07-23
CMP00191,CUST0803,Service,Issue reported,Closed,2026-04-12,2026-04-12
CMP00192,CUST0465,Billing,Issue reported,Open,2026-03-30,2026-03-30
CMP00193,CUST0379,Network,Issue reported,Closed,2026-01-19,2026-01-19
CMP00194,CUST1742,Service,Issue reported,Open,2026-02-28,2026-02-28
CMP00195,CUST1126,Network,Issue reported,Closed,2025-09-21,2025-09-21
CMP00196,CUST1074,Service,Issue reported,Closed,2026-04-08,2026-04-08
CMP00197,CUST0952,Network,Issue reported,Closed,2025-04-26,2025-04-26
CMP00198,CUST0880,Billing,Issue reported,Closed,2025-11-16,2025-11-16
CMP00199,CUST1071,Network,Issue reported,Open,2026-01-15,2026-01-15
CMP00200,CUST1922,Billing,Issue reported,Open,2026-04-11,2026-04-11
CMP00201,CUST0153,Service,Issue reported,Open,2025-11-06,2025-11-06
CMP00202,CUST0769,Network,Issue reported,Closed,2025-05-09,2025-05-09
CMP00203,CUST0673,Billing,Issue reported,Closed,2025-07-23,2025-07-23
CMP00204,CUST0479,Billing,Issue reported,Closed,2025-12-19,2025-12-19
CMP00205,CUST1317,Service,Issue reported,Open,2026-02-16,2026-02-16
CMP00206,CUST0613,Network,Issue reported,Open,2025-08-27,2025-08-27
CMP00207,CUST0295,Service,Issue reported,Open,2026-03-01,2026-03-01
CMP00208,CUST0541,Network,Issue reported,Open,2025-12-18,2025-12-18
CMP00209,CUST1272,Billing,Issue reported,Closed,2025-05-24,2025-05-24
CMP00210,CUST1951,Service,Issue reported,Closed,2025-11-27,2025-11-27
CMP00211,CUST0827,Network,Issue reported,Closed,2026-01-11,2026-01-11
CMP00212,CUST0189,Service,Issue reported,Open,2025-09-23,2025-09-23
CMP00213,CUST1831,Network,Issue reported,Open,2025-11-20,2025-11-20
CMP00214,CUST1726,Network,Issue reported,Closed,2026-04-12,2026-04-12
CMP00215,CUST0568,Service,Issue reported,Closed,2026-04-14,2026-04-14
CMP00216,CUST1069,Service,Issue reported,Closed,2026-02-01,2026-02-01
CMP00217,CUST1841,Network,Issue reported,Open,2025-09-19,2025-09-19
CMP00218,CUST0882,Service,Issue reported,Open,2025-12-26,2025-12-26
CMP00219,CUST0593,Service,Issue reported,Closed,2025-11-04,2025-11-04
CMP00220,CUST1253,Service,Issue reported,Closed,2026-02-02,2026-02-02
CMP00221,CUST0601,Network,Issue reported,Closed,2026-04-19,2026-04-19
CMP00222,CUST1090,Network,Issue reported,Open,2026-01-20,2026-01-20
CMP00223,CUST0699,Network,Issue reported,Closed,2026-04-09,2026-04-09
CMP00224,CUST1865,Service,Issue reported,Closed,2025-06-28,2025-06-28
CMP00225,CUST1909,Billing,Issue reported,Closed,2025-12-26,2025-12-26
CMP00226,CUST1565,Network,Issue reported,Open,2026-03-23,2026-03-23
CMP00227,CUST1529,Billing,Issue reported,Closed,2026-03-10,2026-03-10
CMP00228,CUST0765,Service,Issue reported,Open,2025-09-12,2025-09-12
CMP00229,CUST0775,Billing,Issue reported,Closed,2026-02-22,2026-02-22
CMP00230,CUST0592,Service,Issue reported,Closed,2026-02-09,2026-02-09
CMP00231,CUST0192,Billing,Issue reported,Closed,2025-10-01,2025-10-01
CMP00232,CUST0211,Billing,Issue reported,Closed,2025-11-19,2025-11-19
CMP00233,CUST1512,Billing,Issue reported,Closed,2025-10-10,2025-10-10
CMP00234,CUST1250,Network,Issue reported,Closed,2025-10-24,2025-10-24
CMP00235,CUST0580,Service,Issue reported,Open,2025-09-18,2025-09-18
CMP00236,CUST0578,Network,Issue reported,Closed,2025-04-26,2025-04-26
CMP00237,CUST1527,Network,Issue reported,Open,2025-09-12,2025-09-12
CMP00238,CUST1009,Service,Issue reported,Closed,2025-11-10,2025-11-10
CMP00239,CUST1293,Service,Issue reported,Open,2025-08-11,2025-08-11
CMP00240,CUST0596,Network,Issue reported,Open,2025-06-20,2025-06-20
CMP00241,CUST0298,Billing,Issue reported,Open,2025-08-06,2025-08-06
CMP00242,CUST0031,Network,Issue reported,Open,2025-10-23,2025-10-23
CMP00243,CUST1219,Billing,Issue reported,Open,2025-08-27,2025-08-27
CMP00244,CUST1751,Network,Issue reported,Open,2025-11-06,2025-11-06
CMP00245,CUST0168,Network,Issue reported,Closed,2025-11-08,2025-11-08
CMP00246,CUST0347,Network,Issue reported,Closed,2025-11-15,2025-11-15
CMP00247,CUST1005,Billing,Issue reported,Closed,2026-04-13,2026-04-13
CMP00248,CUST0266,Service,Issue reported,Open,2025-08-01,2025-08-01
CMP00249,CUST1883,Network,Issue reported,Open,2025-11-22,2025-11-22
CMP00250,CUST0995,Network,Issue reported,Open,2025-05-25,2025-05-25
CMP00251,CUST1932,Billing,Issue reported,Open,2025-10-10,2025-10-10
CMP00252,CUST0053,Billing,Issue reported,Closed,2025-06-09,2025-06-09
CMP00253,CUST1072,Service,Issue reported,Closed,2026-01-30,2026-01-30
CMP00254,CUST1001,Service,Issue reported,Open,2025-12-23,2025-12-23
CMP00255,CUST1009,Network,Issue reported,Open,2025-09-20,2025-09-20
CMP00256,CUST1469,Service,Issue reported,Open,2026-04-12,2026-04-12
CMP00257,CUST0971,Service,Issue reported,Closed,2026-01-02,2026-01-02
CMP00258,CUST1459,Network,Issue reported,Open,2025-11-28,2025-11-28
CMP00259,CUST1833,Billing,Issue reported,Open,2025-08-21,2025-08-21
CMP00260,CUST0343,Service,Issue reported,Closed,2026-03-01,2026-03-01
CMP00261,CUST0815,Billing,Issue reported,Closed,2025-11-09,2025-11-09
CMP00262,CUST1705,Network,Issue reported,Closed,2026-04-13,2026-04-13
CMP00263,CUST1812,Billing,Issue reported,Open,2026-04-05,2026-04-05
CMP00264,CUST1880,Billing,Issue reported,Closed,2026-02-02,2026-02-02
CMP00265,CUST0492,Service,Issue reported,Open,2026-01-25,2026-01-25
CMP00266,CUST0636,Network,Issue reported,Closed,2025-09-01,2025-09-01
CMP00267,CUST1207,Service,Issue reported,Closed,2026-03-10,2026-03-10
CMP00268,CUST0070,Billing,Issue reported,Closed,2025-10-01,2025-10-01
CMP00269,CUST0671,Service,Issue reported,Open,2025-12-21,2025-12-21
CMP00270,CUST1256,Network,Issue reported,Closed,2025-07-12,2025-07-12
CMP00271,CUST0858,Billing,Issue reported,Closed,2025-05-10,2025-05-10
CMP00272,CUST0627,Service,Issue reported,Open,2025-08-03,2025-08-03
CMP00273,CUST0886,Network,Issue reported,Closed,2025-12-08,2025-12-08
CMP00274,CUST1036,Service,Issue reported,Closed,2026-01-02,2026-01-02
CMP00275,CUST1286,Billing,Issue reported,Open,2025-11-03,2025-11-03
CMP00276,CUST1377,Billing,Issue reported,Closed,2026-02-07,2026-02-07
CMP00277,CUST0486,Service,Issue reported,Closed,2025-06-13,2025-06-13
CMP00278,CUST1996,Network,Issue reported,Open,2025-09-05,2025-09-05
CMP00279,CUST0667,Billing,Issue reported,Open,2025-05-23,2025-05-23
CMP00280,CUST1951,Service,Issue reported,Open,2025-12-26,2025-12-26
CMP00281,CUST1296,Service,Issue reported,Open,2025-12-10,2025-12-10
CMP00282,CUST0195,Service,Issue reported,Closed,2025-05-08,2025-05-08
CMP00283,CUST1180,Network,Issue reported,Open,2025-10-01,2025-10-01
CMP00284,CUST0300,Service,Issue reported,Closed,2025-12-29,2025-12-29
CMP00285,CUST1131,Billing,Issue reported,Open,2025-11-07,2025-11-07
CMP00286,CUST0696,Network,Issue reported,Closed,2025-07-18,2025-07-18
CMP00287,CUST1676,Network,Issue reported,Closed,2025-09-27,2025-09-27
CMP00288,CUST0078,Network,Issue reported,Open,2025-06-25,2025-06-25
CMP00289,CUST1594,Billing,Issue reported,Closed,2025-06-23,2025-06-23
CMP00290,CUST0762,Network,Issue reported,Closed,2026-03-23,2026-03-23
CMP00291,CUST0025,Network,Issue reported,Closed,2026-03-17,2026-03-17
CMP00292,CUST0656,Service,Issue reported,Open,2025-05-06,2025-05-06
CMP00293,CUST1832,Network,Issue reported,Open,2026-03-18,2026-03-18
CMP00294,CUST0462,Service,Issue reported,Open,2025-11-27,2025-11-27
CMP00295,CUST1569,Service,Issue reported,Open,2026-03-15,2026-03-15
CMP00296,CUST1809,Network,Issue reported,Open,2025-09-24,2025-09-24
CMP00297,CUST1859,Network,Issue reported,Open,2025-07-07,2025-07-07
CMP00298,CUST1355,Service,Issue reported,Open,2025-07-19,2025-07-19
CMP00299,CUST0696,Service,Issue reported,Closed,2025-06-02,2025-06-02
CMP00300,CUST1714,Billing,Issue reported,Closed,2025-06-23,2025-06-23
CMP00301,CUST0939,Billing,Issue reported,Closed,2025-06-30,2025-06-30
CMP00302,CUST1932,Billing,Issue reported,Open,2025-05-30,2025-05-30
CMP00303,CUST1885,Service,Issue reported,Closed,2026-03-22,2026-03-22
CMP00304,CUST0213,Network,Issue reported,Closed,2025-08-30,2025-08-30
CMP00305,CUST1887,Service,Issue reported,Open,2025-07-24,2025-07-24
CMP00306,CUST0329,Network,Issue reported,Closed,2025-06-15,2025-06-15
CMP00307,CUST1446,Billing,Issue reported,Open,2026-01-29,2026-01-29
CMP00308,CUST0791,Service,Issue reported,Closed,2026-03-03,2026-03-03
CMP00309,CUST1071,Network,Issue reported,Closed,2025-11-21,2025-11-21
CMP00310,CUST1470,Network,Issue reported,Closed,2026-03-13,2026-03-13
CMP00311,CUST1587,Service,Issue reported,Open,2025-08-03,2025-08-03
CMP00312,CUST0833,Network,Issue reported,Closed,2025-10-01,2025-10-01
CMP00313,CUST0610,Billing,Issue reported,Closed,2025-10-02,2025-10-02
CMP00314,CUST1551,Service,Issue reported,Closed,2025-09-05,2025-09-05
CMP00315,CUST1932,Network,Issue reported,Open,2025-06-24,2025-06-24
CMP00316,CUST0818,Network,Issue reported,Open,2025-08-09,2025-08-09
CMP00317,CUST0069,Network,Issue reported,Open,2025-04-25,2025-04-25
CMP00318,CUST0576,Service,Issue reported,Open,2026-04-11,2026-04-11
CMP00319,CUST0887,Billing,Issue reported,Open,2025-11-16,2025-11-16
CMP00320,CUST1822,Network,Issue reported,Closed,2025-11-02,2025-11-02
CMP00321,CUST0417,Service,Issue reported,Closed,2025-09-08,2025-09-08
CMP00322,CUST1083,Billing,Issue reported,Closed,2026-03-04,2026-03-04
CMP00323,CUST0811,Billing,Issue reported,Closed,2025-11-30,2025-11-30
CMP00324,CUST1313,Billing,Issue reported,Closed,2025-09-17,2025-09-17
CMP00325,CUST0416,Network,Issue reported,Closed,2025-08-07,2025-08-07
CMP00326,CUST0182,Service,Issue reported,Open,2025-12-19,2025-12-19
CMP00327,CUST1530,Billing,Issue reported,Open,2025-12-16,2025-12-16
CMP00328,CUST1334,Network,Issue reported,Closed,2025-11-01,2025-11-01
CMP00329,CUST0944,Network,Issue reported,Open,2025-05-27,2025-05-27
CMP00330,CUST0236,Network,Issue reported,Closed,2026-02-17,2026-02-17
CMP00331,CUST0286,Billing,Issue reported,Open,2025-08-09,2025-08-09
CMP00332,CUST0871,Network,Issue reported,Closed,2025-09-08,2025-09-08
CMP00333,CUST0396,Network,Issue reported,Closed,2026-01-09,2026-01-09
CMP00334,CUST1260,Service,Issue reported,Open,2026-01-18,2026-01-18
CMP00335,CUST1707,Network,Issue reported,Closed,2026-03-17,2026-03-17
CMP00336,CUST0225,Service,Issue reported,Closed,2025-04-23,2025-04-23
CMP00337,CUST1660,Billing,Issue reported,Closed,2026-04-21,2026-04-21
CMP00338,CUST0411,Service,Issue reported,Closed,2026-01-22,2026-01-22
CMP00339,CUST1279,Network,Issue reported,Closed,2025-05-28,2025-05-28
CMP00340,CUST0496,Billing,Issue reported,Open,2025-12-14,2025-12-14
CMP00341,CUST1134,Network,Issue reported,Closed,2025-08-22,2025-08-22
CMP00342,CUST1364,Network,Issue reported,Closed,2025-07-10,2025-07-10
CMP00343,CUST1033,Billing,Issue reported,Open,2025-08-23,2025-08-23
CMP00344,CUST0203,Service,Issue reported,Open,2025-07-01,2025-07-01
CMP00345,CUST0554,Billing,Issue reported,Open,2026-03-09,2026-03-09
CMP00346,CUST0102,Service,Issue reported,Open,2025-06-24,2025-06-24
CMP00347,CUST1944,Network,Issue reported,Closed,2025-07-12,2025-07-12
CMP00348,CUST1268,Billing,Issue reported,Closed,2025-10-23,2025-10-23
CMP00349,CUST0180,Network,Issue reported,Open,2025-06-15,2025-06-15
CMP00350,CUST1423,Network,Issue reported,Open,2026-02-14,2026-02-14
CMP00351,CUST0537,Network,Issue reported,Closed,2026-03-30,2026-03-30
CMP00352,CUST1670,Billing,Issue reported,Closed,2025-10-08,2025-10-08
CMP00353,CUST1710,Service,Issue reported,Open,2025-08-17,2025-08-17
CMP00354,CUST1636,Network,Issue reported,Closed,2025-06-06,2025-06-06
CMP00355,CUST0958,Billing,Issue reported,Closed,2025-12-27,2025-12-27
CMP00356,CUST1908,Service,Issue reported,Closed,2026-04-13,2026-04-13
CMP00357,CUST1946,Service,Issue reported,Closed,2025-11-30,2025-11-30
CMP00358,CUST1444,Service,Issue reported,Open,2026-03-14,2026-03-14
CMP00359,CUST1775,Network,Issue reported,Open,2025-07-11,2025-07-11
