recharge_id,customer_id,recharge_date,amount,payment_mode
REC00071,CUST0054,2025-10-17,149,UPI
REC00072,CUST1417,2026-04-16,199,Card
REC00073,CUST1005,2025-08-24,149,Card
REC00074,CUST1130,2025-11-20,399,UPI
REC00075,CUST0793,2025-10-26,199,UPI
REC00076,CUST1288,2025-05-07,149,UPI
REC00077,CUST1597,2025-11-10,149,Card
REC00078,CUST0098,2025-07-07,149,NetBanking
REC00079,CUST1509,2025-11-17,149,UPI
REC00080,CUST1136,2025-08-16,249,Card
REC00081,CUST0211,2026-04-09,149,UPI
REC00082,CUST1125,2025-08-01,249,NetBanking
REC00083,CUST0984,2026-02-06,149,UPI
REC00084,CUST0515,2025-08-25,399,NetBanking
REC00085,CUST0106,2025-05-14,299,Card
REC00086,CUST0770,2026-04-11,399,Card
REC00087,CUST1763,2026-01-03,399,Card
REC00088,CUST0597,2025-09-14,199,NetBanking
REC00089,CUST0270,2026-04-15,199,UPI
REC00090,CUST0942,2026-02-13,199,NetBanking
REC00091,CUST1615,2026-02-18,399,Card
REC00092,CUST0105,2025-08-16,299,UPI
REC00093,CUST0710,2025-07-21,249,Card
REC00094,CUST1190,2025-08-07,149,NetBanking
REC00095,CUST0550,2026-01-15,149,Card
REC00096,CUST0737,2025-08-01,399,Card
REC00097,CUST0501,2025-10-30,249,UPI
REC00098,CUST0420,2026-01-18,399,NetBanking
REC00099,CUST0683,2026-03-06,249,UPI
REC00100,CUST0891,2025-05-01,299,UPI
REC00101,CUST0652,2025-10-17,149,UPI
REC00102,CUST1248,2025-10-28,299,Card
REC00103,CUST1168,2026-03-01,199,NetBanking
REC00104,CUST0668,2025-07-30,199,NetBanking
REC00105,CUST0850,2025-11-27,299,Card
REC00106,CUST1841,2025-05-11,199,Card
REC00107,CUST0144,2025-11-17,399,NetBanking
REC00108,CUST0789,2026-03-16,199,UPI
REC00109,CUST1764,2025-10-29,149,Card
REC00110,CUST0688,2026-03-22,249,UPI
REC00111,CUST0970,2026-03-28,199,UPI
REC00112,CUST0823,2025-12-14,299,Card
REC00113,CUST1570,2025-09-22,399,UPI
REC00114,CUST0445,2025-06-06,199,UPI
REC00115,CUST0711,2025-07-12,299,NetBanking
REC00116,CUST0791,2025-11-24,399,UPI
REC00117,CUST0318,2026-02-08,199,NetBanking
REC00118,CUST1394,2025-06-24,399,UPI
REC00119,CUST1822,2025-12-13,199,UPI
REC00120,CUST0029,2025-09-08,199,UPI
REC00121,CUST0536,2025-12-08,149,Card
REC00122,CUST0440,2026-02-08,399,Card
REC00123,CUST1854,2025-06-16,149,UPI
REC00124,CUST1368,2025-06-14,199,UPI
REC00125,CUST1856,2025-12-08,199,Card
REC00126,CUST1995,2026-03-08,249,NetBanking
REC00127,CUST1643,2025-08-29,299,UPI
REC00128,CUST0331,2025-08-14,299,Card
REC00129,CUST0939,2026-04-19,299,NetBanking
REC00130,CUST0085,2025-12-16,299,UPI
REC00131,CUST0765,2025-08-01,149,UPI
REC00132,CUST0623,2026-01-17,249,UPI
REC00133,CUST0918,2025-06-24,399,Card
REC00134,CUST0505,2025-09-11,299,UPI
REC00135,CUST0615,2025-05-07,249,UPI
REC00136,CUST0664,2026-01-29,399,NetBanking
REC00137,CUST0646,2026-01-30,299,UPI
REC00138,CUST0264,2025-09-29,299,UPI
REC00139,CUST1296,2025-11-04,249,NetBanking
REC00140,CUST1716,2026-02-05,249,NetBanking
REC00141,CUST1010,2025-12-02,149,UPI
REC00142,CUST1003,2025-07-06,249,Card
REC00143,CUST0707,2025-06-18,299,NetBanking
REC00144,CUST1569,2025-06-27,399,UPI
REC00145,CUST0327,2025-08-09,149,Card
REC00146,CUST0784,2025-06-06,399,NetBanking
REC00147,CUST0552,2025-06-02,299,Card
REC00148,CUST1422,2025-10-18,399,Card
REC00149,CUST0832,2026-03-21,399,UPI
REC00150,CUST0616,2025-12-02,199,Card
REC00151,CUST0021,2025-10-22,149,NetBanking
REC00152,CUST0093,2026-04-14,299,UPI
REC00153,CUST0351,2026-03-28,399,UPI
REC00154,CUST0396,2026-03-31,199,UPI
REC00155,CUST1582,2025-08-16,399,NetBanking
REC00156,CUST0704,2025-09-03,399,NetBanking
REC00157,CUST0542,2025-09-09,299,NetBanking
REC00158,CUST0650,2025-06-25,149,NetBanking
REC00159,CUST1274,2026-04-11,199,Card
REC00160,CUST0969,2025-07-28,149,NetBanking
REC00161,CUST1833,2025-09-11,249,NetBanking
REC00162,CUST0197,2025-07-03,149,Card
REC00163,CUST0190,2025-06-20,149,Card
REC00164,CUST1383,2026-02-11,299,Card
REC00165,CUST1308,2026-03-28,299,NetBanking
REC00166,CUST0174,2025-12-30,149,UPI
REC00167,CUST0091,2025-06-05,199,NetBanking
REC00168,CUST0662,2025-05-07,149,UPI
REC00169,CUST0167,2025-05-01,299,Card
REC00170,CUST1675,2025-07-11,399,Card
REC00171,CUST1883,2025-10-12,149,UPI
REC00172,CUST1975,2025-09-26,149,NetBanking
REC00173,CUST0360,2026-03-10,299,Card
REC00174,CUST1681,2025-06-23,299,Card
REC00175,CUST1655,2026-02-24,199,Card
REC00176,CUST1348,2025-07-12,149,NetBanking
REC00177,CUST1404,2026-01-10,249,UPI
REC00178,CUST1875,2025-12-23,199,UPI
REC00179,CUST0356,2025-09-25,149,NetBanking
REC00180,CUST0384,2025-09-06,399,UPI
REC00181,CUST0360,2025-08-14,399,NetBanking
REC00182,CUST0676,2026-02-23,149,Card
REC00183,CUST1140,2025-10-23,249,UPI
REC00184,CUST0257,2025-06-18,199,Card
REC00185,CUST0302,2025-07-13,199,Card
REC00186,CUST0664,2026-02-09,199,NetBanking
REC00187,CUST0972,2025-12-15,399,Card
REC00188,CUST0002,2025-09-06,399,UPI
REC00189,CUST1786,2025-10-23,149,NetBanking
REC00190,CUST1988,2025-10-14,249,Card
REC00191,CUST0333,2025-11-22,399,Card
REC00192,CUST0269,2025-12-13,199,NetBanking
REC00193,CUST0492,2025-04-29,149,NetBanking
REC00194,CUST1661,2025-05-08,299,Card
REC00195,CUST1218,2025-10-13,299,UPI
REC00196,CUST0960,2025-08-24,149,UPI
REC00197,CUST0236,2025-11-03,149,UPI
REC00198,CUST0556,2025-10-30,399,Card
REC00199,CUST1782,2025-09-21,399,Card
REC00200,CUST1824,2025-12-08,149,NetBanking
REC00201,CUST1583,2025-10-09,149,NetBanking
REC00202,CUST1938,2025-11-24,399,UPI
REC00203,CUST1699,2025-12-18,299,UPI
REC00204,CUST0954,2025-06-27,149,NetBanking
REC00205,CUST1300,2025-08-04,149,NetBanking
REC00206,CUST1183,2025-04-27,149,NetBanking
REC00207,CUST0723,2026-02-02,149,NetBanking
REC00208,CUST1122,2025-05-02,399,Card
REC00209,CUST0572,2025-08-15,249,Card
REC00210,CUST0154,2025-07-02,249,NetBanking
REC00211,CUST0105,2026-01-28,399,UPI
REC00212,CUST1165,2025-08-03,299,UPI
REC00213,CUST0224,2025-08-15,149,UPI
REC00214,CUST1828,2026-03-05,399,Card
REC00215,CUST0661,2025-05-05,399,UPI
REC00216,CUST0652,2025-11-16,299,UPI
REC00217,CUST0945,2025-07-23,299,Card
REC00218,CUST0203,2025-08-18,149,NetBanking
REC00219,CUST1182,2025-10-15,199,UPI
REC00220,CUST0106,2026-04-06,399,NetBanking
REC00221,CUST1276,2025-10-16,299,NetBanking
REC00222,CUST0702,2025-11-01,299,UPI
REC00223,CUST0569,2025-12-13,149,NetBanking
REC00224,CUST0186,2025-09-12,399,NetBanking
REC00225,CUST0199,2025-11-23,199,Card
REC00226,CUST1580,2026-02-08,149,NetBanking
REC00227,CUST0328,2025-11-06,249,Card
REC00228,CUST0844,2025-06-06,299,Card
REC00229,CUST1092,2025-09-23,299,Card
REC00230,CUST0638,2025-06-18,149,NetBanking
REC00231,CUST0897,2025-04-27,199,UPI
REC00232,CUST0152,2025-07-24,199,Card
REC00233,CUST0701,2025-06-24,149,UPI
REC00234,CUST0708,2026-04-18,149,Card
REC00235,CUST0820,2026-01-25,199,UPI
REC00236,CUST1204,2025-06-30,199,NetBanking
REC00237,CUST1009,2026-02-09,149,NetBanking
REC00238,CUST0045,2026-01-28,299,NetBanking
REC00239,CUST0831,2025-10-17,299,Card
REC00240,CUST0014,2026-01-16,199,UPI
REC00241,CUST0840,2025-04-23,299,Card
REC00242,CUST1777,2026-02-26,399,UPI
REC00243,CUST0849,2026-01-20,299,Card
REC00244,CUST0046,2026-03-31,249,NetBanking
REC00245,CUST1379,2026-02-03,149,Card
REC00246,CUST1232,2025-10-04,399,Card
REC00247,CUST1829,2026-02-16,199,NetBanking
REC00248,CUST0003,2025-07-17,249,Card
REC00249,CUST0630,2025-06-27,149,Card
REC00250,CUST1293,2026-03-31,249,UPI
REC00251,CUST0850,2026-02-18,299,UPI
REC00252,CUST1539,2025-11-26,399,NetBanking
REC00253,CUST0083,2026-04-09,149,NetBanking
REC00254,CUST1640,2025-09-14,299,NetBanking
REC00255,CUST0303,2026-02-05,199,Card
REC00256,CUST0486,2026-03-28,149,Card
REC00257,CUST0814,2025-11-01,299,NetBanking
REC00258,CUST1890,2025-07-18,199,NetBanking
REC00259,CUST1733,2026-04-05,399,UPI
REC00260,CUST0622,2025-08-13,299,Card
REC00261,CUST1980,2025-12-25,249,NetBanking
REC00262,CUST0599,2025-06-28,399,NetBanking
REC00263,CUST1113,2025-12-06,299,NetBanking
REC00264,CUST1889,2025-06-16,299,NetBanking
REC00265,CUST0129,2025-12-10,149,Card
REC00266,CUST1188,2026-01-03,399,UPI
REC00267,CUST1048,2026-03-19,299,NetBanking
REC00268,CUST1974,2026-03-14,299,Card
REC00269,CUST0462,2025-05-01,299,UPI
REC00270,CUST0501,2025-10-10,149,Card
REC00271,CUST1193,2026-01-27,249,NetBanking
REC00272,CUST0346,2026-02-06,149,Card
REC00273,CUST1461,2025-12-10,299,NetBanking
REC00274,CUST0805,2025-11-19,399,NetBanking
REC00275,CUST0507,2026-02-19,249,Card
REC00276,CUST0834,2025-08-23,299,NetBanking
REC00277,CUST1696,2025-04-25,199,Card
REC00278,CUST1893,2026-02-18,249,UPI
REC00279,CUST1282,2025-07-20,149,UPI
REC00280,CUST1809,2025-07-18,399,NetBanking
REC00281,CUST1502,2025-05-14,299,NetBanking
REC00282,CUST0325,2026-02-06,149,Card
REC00283,CUST0223,2025-07-28,399,NetBanking
REC00284,CUST0084,2026-01-06,149,Card
REC00285,CUST1195,2026-03-18,199,NetBanking
REC00286,CUST1022,2025-12-02,299,NetBanking
REC00287,CUST0137,2025-07-21,399,Card
REC00288,CUST0397,2025-07-27,199,NetBanking
REC00289,CUST1844,2026-01-12,299,UPI
REC00290,CUST1654,2025-07-31,249,UPI
REC00291,CUST0130,2025-06-23,149,Card
REC00292,CUST0540,2025-09-13,199,Card
REC00293,CUST1929,2026-04-12,399,NetBanking
REC00294,CUST1814,2025-10-18,199,Card
REC00295,CUST0729,2025-09-13,199,NetBanking
REC00296,CUST1830,2025-06-17,299,UPI
REC00297,CUST0347,2025-12-04,299,Card
REC00298,CUST0414,2025-09-08,249,Card
REC00299,CUST1860,2025-08-19,299,Card
REC00300,CUST1594,2025-12-21,199,NetBanking
REC00301,CUST0648,2025-06-01,199,Card
REC00302,CUST1815,2025-11-15,399,NetBanking
REC00303,CUST0480,2025-12-13,199,Card
REC00304,CUST1320,2025-12-19,249,UPI
REC00305,CUST1659,2026-01-30,149,UPI
REC00306,CUST0580,2025-07-15,299,Card
REC00307,CUST0656,2025-10-31,199,NetBanking
REC00308,CUST1037,2025-05-09,199,UPI
REC00309,CUST1239,2026-03-21,149,Card
REC00310,CUST0889,2025-10-06,299,Card
REC00311,CUST0859,2026-03-06,149,NetBanking
REC00312,CUST1340,2025-12-14,299,NetBanking
REC00313,CUST1229,2025-10-23,299,NetBanking
REC00314,CUST1627,2026-03-07,399,NetBanking
REC00315,CUST1636,2025-05-20,199,NetBanking
REC00316,CUST1134,2025-10-07,249,UPI
REC00317,CUST0859,2025-06-02,199,Card
REC00318,CUST1369,2025-12-20,249,UPI
REC00319,CUST0707,2025-10-08,299,Card
REC00320,CUST0266,2025-11-20,399,Card
REC00321,CUST0178,2025-07-14,299,Card
REC00322,CUST0195,2025-10-24,149,UPI
REC00323,CUST1711,2026-01-21,149,UPI
REC00324,CUST1266,2026-03-09,299,NetBanking
REC00325,CUST0118,2025-05-20,149,NetBanking
REC00326,CUST1876,2026-02-07,149,UPI
REC00327,CUST1101,2025-10-24,199,Card
REC00328,CUST0684,2025-10-23,399,Card
REC00329,CUST0541,2026-03-03,249,Card
REC00330,CUST0231,2025-08-23,149,Card
REC00331,CUST0867,2025-08-24,199,UPI
REC00332,CUST1043,2025-05-29,299,UPI
REC00333,CUST0760,2025-06-14,199,UPI
REC00334,CUST0573,2026-02-09,249,UPI
REC00335,CUST1062,2026-03-15,299,Card
REC00336,CUST0607,2025-12-25,149,NetBanking
REC00337,CUST0683,2025-06-24,149,Card
REC00338,CUST1990,2025-08-19,199,Card
REC00339,CUST1186,2026-01-02,299,UPI
REC00340,CUST1478,2025-07-29,149,Card
REC00341,CUST0999,2025-09-11,399,UPI
REC00342,CUST0982,2026-01-05,299,UPI
REC00343,CUST0147,2025-12-05,199,NetBanking
REC00344,CUST1761,2025-12-26,249,NetBanking
REC00345,CUST0567,2025-06-06,249,NetBanking
REC00346,CUST0031,2026-03-02,399,NetBanking
REC00347,CUST1755,2025-07-26,299,Card
REC00348,CUST0612,2025-11-12,199,NetBanking
REC00349,CUST0243,2025-08-20,299,UPI
REC00350,CUST0318,2025-06-27,299,NetBanking
REC00351,CUST0691,2026-02-18,149,Card
REC00352,CUST1046,2025-06-03,399,Card
REC00353,CUST1125,2025-06-30,199,UPI
REC00354,CUST1620,2025-07-18,249,UPI
REC00355,CUST0124,2025-12-15,149,Card
REC00356,CUST1290,2026-02-25,299,UPI
REC00357,CUST1823,2026-03-06,399,NetBanking
REC00358,CUST0584,2026-02-21,399,UPI
REC00359,CUST0198,2025-06-23,149,Card
REC00360,CUST1460,2025-12-30,199,UPI
REC00361,CUST1273,2025-08-14,299,NetBanking
REC00362,CUST1700,2026-03-06,399,UPI
REC00363,CUST0869,2025-11-03,399,Card
REC00364,CUST0752,2025-12-24,249,Card
REC00365,CUST1620,2025-08-25,399,UPI
REC00366,CUST0025,2025-08-03,199,NetBanking
REC00367,CUST1003,2026-01-06,249,UPI
REC00368,CUST1795,2025-07-07,299,UPI
REC00369,CUST0733,2025-09-25,249,UPI
REC00370,CUST1639,2025-05-14,399,NetBanking
REC00371,CUST1613,2025-05-01,249,NetBanking
REC00372,CUST0778,2026-03-11,149,Card
REC00373,CUST1152,2025-10-16,249,NetBanking
REC00374,CUST0269,2026-02-13,249,NetBanking
REC00375,CUST0486,2025-09-21,299,NetBanking
REC00376,CUST0080,2026-01-16,249,UPI
REC00377,CUST0001,2026-02-26,149,UPI
REC00378,CUST1490,2025-12-21,199,Card
REC00379,CUST0435,2026-01-19,149,NetBanking
REC00380,CUST0584,2025-11-30,399,Card
REC00381,CUST1239,2026-01-12,399,Card
REC00382,CUST0930,2025-09-19,149,UPI
REC00383,CUST1871,2025-08-10,299,NetBanking
REC00384,CUST1556,2025-09-18,399,UPI
REC00385,CUST1862,2025-08-28,399,NetBanking
REC00386,CUST0161,2025-10-25,299,UPI
REC00387,CUST0130,2025-08-27,299,Card
REC00388,CUST1886,2026-01-11,199,Card
REC00389,CUST1882,2025-11-08,249,UPI
REC00390,CUST1119,2025-07-18,149,Card
REC00391,CUST1652,2025-11-11,149,NetBanking
REC00392,CUST1010,2025-06-15,399,NetBanking
REC00393,CUST0074,2025-12-22,249,NetBanking
REC00394,CUST1569,2025-09-20,199,UPI
REC00395,CUST1040,2025-12-08,149,NetBanking
REC00396,CUST1616,2025-05-23,299,Card
REC00397,CUST0806,2026-02-09,199,NetBanking
REC00398,CUST1129,2025-11-11,249,NetBanking
REC00399,CUST1380,2026-02-17,199,UPI
REC00400,CUST1196,2025-04-26,149,NetBanking
REC00401,CUST1091,2026-01-25,149,UPI
REC00402,CUST0715,2025-05-09,299,UPI
REC00403,CUST1870,2026-02-20,199,UPI
REC00404,CUST1011,2026-02-24,299,Card
REC00405,CUST0256,2025-06-03,399,UPI
REC00406,CUST1365,2025-05-10,149,UPI
REC00407,CUST0859,2026-04-08,299,NetBanking
REC00408,CUST1897,2025-06-20,149,UPI
REC00409,CUST0709,2026-01-15,299,NetBanking
REC00410,CUST0386,2025-05-24,299,UPI
REC00411,CUST0477,2026-03-07,399,UPI
REC00412,CUST1546,2026-02-01,199,NetBanking
REC00413,CUST0358,2026-02-06,399,NetBanking
REC00414,CUST0531,2025-07-19,199,UPI
REC00415,CUST1655,2025-08-15,199,UPI
REC00416,CUST1173,2025-07-31,399,NetBanking
REC00417,CUST0707,2025-10-03,149,Card
REC00418,CUST0208,2026-02-26,249,NetBanking
REC00419,CUST1062,2025-04-29,249,Card
REC00420,CUST1618,2026-03-13,299,UPI
REC00421,CUST0836,2025-11-10,399,NetBanking
REC00422,CUST1988,2025-10-28,399,UPI
REC00423,CUST1688,2025-11-26,399,UPI
REC00424,CUST0352,2026-01-14,249,UPI
REC00425,CUST1973,2025-10-31,249,NetBanking
REC00426,CUST0522,2025-07-04,249,Card
REC00427,CUST0282,2025-06-30,149,NetBanking
REC00428,CUST1337,2025-11-27,249,UPI
REC00429,CUST0835,2025-12-03,399,Card
REC00430,CUST0685,2025-09-03,299,NetBanking
REC00431,CUST1287,2025-09-20,199,NetBanking
REC00432,CUST0300,2025-08-17,399,NetBanking
REC00433,CUST0118,2025-09-23,299,Card
REC00434,CUST0825,2026-02-04,299,UPI
REC00435,CUST0457,2025-08-10,399,UPI
REC00436,CUST0239,2026-04-06,199,NetBanking
REC00437,CUST1043,2025-07-12,249,Card
REC00438,CUST0540,2025-05-26,249,UPI
REC00439,CUST1001,2025-12-20,399,Card
REC00440,CUST0792,2026-01-28,249,UPI
REC00441,CUST1043,2025-10-10,199,UPI
REC00442,CUST1869,2026-01-21,249,NetBanking
REC00443,CUST1283,2026-03-06,299,Card
REC00444,CUST0903,2025-04-27,149,NetBanking
REC00445,CUST1424,2025-11-19,399,NetBanking
REC00446,CUST1047,2025-07-24,149,NetBanking
REC00447,CUST1480,2025-05-15,199,NetBanking
REC00448,CUST1206,2025-11-21,249,UPI
REC00449,CUST1215,2026-03-09,399,Card
REC00450,CUST0485,2025-11-16,299,NetBanking
REC00451,CUST0328,2026-02-25,149,Card
REC00452,CUST0506,2026-01-25,299,NetBanking
REC00453,CUST1576,2026-03-28,149,Card
REC00454,CUST1665,2025-10-28,149,NetBanking
REC00455,CUST1886,2025-12-30,149,NetBanking
REC00456,CUST1262,2026-01-09,199,Card
REC00457,CUST0563,2026-02-26,249,Card
REC00458,CUST1918,2025-08-03,299,UPI
REC00459,CUST1709,2025-06-08,199,UPI
REC00460,CUST1999,2025-07-05,249,Card
REC00461,CUST0615,2026-02-02,149,Card
REC00462,CUST1289,2025-10-25,299,Card
REC00463,CUST1248,2025-06-26,149,NetBanking
REC00464,CUST1035,2026-03-25,249,NetBanking
REC00465,CUST0335,2026-02-17,399,NetBanking
REC00466,CUST0985,2025-06-19,249,UPI
REC00467,CUST0881,2025-12-13,299,NetBanking
REC00468,CUST0598,2025-08-19,149,NetBanking
REC00469,CUST1459,2026-01-10,249,UPI
REC00470,CUST1351,2025-10-03,399,UPI
REC00471,CUST0855,2025-06-16,399,Card
REC00472,CUST1012,2026-02-06,199,Card
REC00473,CUST1373,2025-08-18,399,NetBanking
REC00474,CUST0635,2026-01-16,149,NetBanking
REC00475,CUST1005,2025-06-24,199,Card
REC00476,CUST1578,2026-04-12,199,NetBanking
REC00477,CUST1424,2025-07-25,249,NetBanking
REC00478,CUST1011,2025-12-30,399,NetBanking
REC00479,CUST1595,2025-11-27,399,NetBanking
REC00480,CUST0065,2025-06-15,199,UPI
REC00481,CUST0608,2025-04-29,399,NetBanking
REC00482,CUST1307,2025-04-25,299,UPI
REC00483,CUST1607,2025-06-13,299,UPI
REC00484,CUST0924,2025-06-15,249,UPI
REC00485,CUST1731,2025-08-17,299,NetBanking
REC00486,CUST0395,2025-05-29,399,NetBanking
REC00487,CUST0950,2025-09-07,149,UPI
REC00488,CUST0465,2026-02-26,399,UPI
REC00489,CUST1407,2026-01-07,399,UPI
REC00490,CUST0536,2026-03-04,399,Card
REC00491,CUST1984,2025-05-16,149,NetBanking
REC00492,CUST1553,2026-02-08,249,NetBanking
REC00493,CUST1810,2026-01-07,199,Card
REC00494,CUST0955,2025-10-23,149,UPI
REC00495,CUST1632,2026-01-01,299,NetBanking
REC00496,CUST1108,2026-04-02,199,NetBanking
REC00497,CUST1254,2025-11-25,399,UPI
REC00498,CUST1071,2026-01-26,149,UPI
REC00499,CUST0649,2025-09-30,149,NetBanking
REC00500,CUST1419,2026-02-01,199,NetBanking
REC00501,CUST1360,2025-08-09,249,UPI
REC00502,CUST1246,2025-09-19,299,NetBanking
REC00503,CUST0165,2025-08-18,199,NetBanking
REC00504,CUST0991,2025-10-18,299,Card
REC00505,CUST1636,2025-08-16,399,NetBanking
REC00506,CUST1821,2025-12-15,299,Card
REC00507,CUST1745,2026-02-07,299,UPI
REC00508,CUST1374,2025-09-13,249,NetBanking
REC00509,CUST0135,2025-06-07,399,Card
REC00510,CUST1335,2025-12-13,249,UPI
REC00511,CUST1521,2025-10-14,249,UPI
REC00512,CUST0591,2026-04-21,199,UPI
REC00513,CUST0461,2025-11-18,199,NetBanking
REC00514,CUST1634,2025-05-24,399,NetBanking
REC00515,CUST0838,2025-07-24,399,UPI
REC00516,CUST1689,2025-06-27,299,NetBanking
REC00517,CUST0834,2025-04-26,299,NetBanking
REC00518,CUST0846,2026-01-08,299,UPI
REC00519,CUST0238,2025-06-17,299,UPI
REC00520,CUST0887,2026-04-08,199,NetBanking
REC00521,CUST1309,2025-07-28,399,NetBanking
REC00522,CUST1686,2026-04-01,249,NetBanking
REC00523,CUST0432,2025-10-12,149,UPI
REC00524,CUST1474,2026-02-10,149,NetBanking
REC00525,CUST0208,2025-04-23,399,Card
REC00526,CUST1735,2026-03-02,249,Card
REC00527,CUST0134,2026-02-25,199,Card
REC00528,CUST0821,2026-02-19,199,Card
REC00529,CUST1145,2025-12-09,149,Card
REC00530,CUST1703,2025-07-16,299,UPI
REC00531,CUST1026,2025-07-14,199,UPI
REC00532,CUST1141,2025-11-09,249,NetBanking
REC00533,CUST1736,2025-08-25,299,Card
REC00534,CUST1228,2026-04-04,399,UPI
REC00535,CUST1449,2025-05-31,399,UPI
REC00536,CUST0378,2025-08-31,149,UPI
REC00537,CUST1222,2025-08-11,399,Card
REC00538,CUST1403,2026-01-08,249,UPI
REC00539,CUST0723,2026-01-12,299,UPI
REC00540,CUST1848,2025-04-21,199,UPI
REC00541,CUST0018,2026-01-07,299,UPI
REC00542,CUST0299,2025-07-25,249,Card
REC00543,CUST1587,2025-11-16,249,Card
REC00544,CUST1584,2026-03-07,149,UPI
REC00545,CUST1773,2025-12-24,199,Card
REC00546,CUST0836,2025-12-23,399,NetBanking
REC00547,CUST0558,2025-12-08,199,UPI
REC00548,CUST0234,2025-10-02,299,UPI
REC00549,CUST0082,2025-09-29,299,UPI
REC00550,CUST1403,2025-11-14,299,Card
REC00551,CUST0736,2026-01-31,249,UPI
REC00552,CUST0092,2026-01-05,149,UPI
REC00553,CUST0974,2025-05-08,149,UPI
REC00554,CUST0918,2025-08-18,299,Card
REC00555,CUST0960,2025-05-24,299,UPI
REC00556,CUST0251,2026-02-08,399,Card
REC00557,CUST1363,2026-02-14,249,UPI
REC00558,CUST0573,2026-03-05,399,Card
REC00559,CUST1341,2025-09-11,249,NetBanking
REC00560,CUST1661,2025-06-29,399,NetBanking
REC00561,CUST1462,2025-09-03,149,UPI
REC00562,CUST0927,2025-10-02,399,UPI
REC00563,CUST1909,2026-01-26,199,UPI
REC00564,CUST0479,2025-08-07,249,NetBanking
REC00565,CUST1128,2025-08-09,399,Card
REC00566,CUST0965,2025-08-14,199,NetBanking
REC00567,CUST1270,2026-04-01,199,Card
REC00568,CUST1530,2025-11-17,199,Card
REC00569,CUST1995,2025-09-09,399,Card
REC00570,CUST1558,2025-10-26,249,Card
REC00571,CUST0022,2026-04-02,249,Card
REC00572,CUST1401,2026-04-07,249,NetBanking
